date,return,open_close,rv,vix,year_week,dhousing,dindpro,nai,nfci,year_month
1984-10-01,-0.8950295570548938,-0.8950295570548938,NA,NA,1984-09-30,-6.571707165701479,-0.16306967473029843,0.27,0.26,1984-10-01
1984-10-02,-0.6276484016809469,-0.6276484016809469,NA,NA,1984-09-30,-6.571707165701479,-0.16306967473029843,0.27,0.26,1984-10-01
1984-10-03,-0.7054558024371715,-0.7054558024371715,NA,NA,1984-09-30,-6.571707165701479,-0.16306967473029843,0.27,0.26,1984-10-01
1984-10-04,0.29505553739124224,0.29505553739124224,NA,NA,1984-09-30,-6.571707165701479,-0.16306967473029843,0.27,0.26,1984-10-01
1984-10-05,-0.14742324944849727,-0.14742324944849727,NA,NA,1984-09-30,-6.571707165701479,-0.16306967473029843,0.27,0.26,1984-10-01
1984-10-08,-0.33865246083362166,-0.33865246083362166,NA,NA,1984-10-07,-6.571707165701479,-0.16306967473029843,0.27,0.2,1984-10-01
1984-10-09,-0.28413051587907745,-0.28413051587907745,NA,NA,1984-10-07,-6.571707165701479,-0.16306967473029843,0.27,0.2,1984-10-01
1984-10-10,0.2717915079496258,0.2717915079496258,NA,NA,1984-10-07,-6.571707165701479,-0.16306967473029843,0.27,0.2,1984-10-01
1984-10-11,0.4124466433502505,0.4124466433502505,NA,NA,1984-10-07,-6.571707165701479,-0.16306967473029843,0.27,0.2,1984-10-01
1984-10-12,0.8563754528353229,0.8563754528353229,NA,NA,1984-10-07,-6.571707165701479,-0.16306967473029843,0.27,0.2,1984-10-01
1984-10-15,0.9637965282604632,0.9637965282604632,NA,NA,1984-10-14,-6.571707165701479,-0.16306967473029843,0.27,0.14,1984-10-01
1984-10-16,-0.5990064747846802,-0.605035731254322,NA,NA,1984-10-14,-6.571707165701479,-0.16306967473029843,0.27,0.14,1984-10-01
1984-10-17,-0.38915287095404594,-0.38915287095404594,NA,NA,1984-10-14,-6.571707165701479,-0.16306967473029843,0.27,0.14,1984-10-01
1984-10-18,2.3839359998403253,2.3839359998403253,NA,NA,1984-10-14,-6.571707165701479,-0.16306967473029843,0.27,0.14,1984-10-01
1984-10-19,-0.0833178615027741,-0.07141709432598731,NA,NA,1984-10-14,-6.571707165701479,-0.16306967473029843,0.27,0.14,1984-10-01
1984-10-22,-0.35787106408795566,-0.35787106408795566,NA,NA,1984-10-21,-6.571707165701479,-0.16306967473029843,0.27,0.09,1984-10-01
1984-10-23,-0.16146213848440283,-0.16146213848440283,NA,NA,1984-10-21,-6.571707165701479,-0.16306967473029843,0.27,0.09,1984-10-01
1984-10-24,0.06581172411594949,0.06581172411594949,NA,NA,1984-10-21,-6.571707165701479,-0.16306967473029843,0.27,0.09,1984-10-01
1984-10-25,-0.5337178051703084,-0.5337178051703084,NA,NA,1984-10-21,-6.571707165701479,-0.16306967473029843,0.27,0.09,1984-10-01
1984-10-26,-0.6152040076861987,-0.6152040076861987,NA,NA,1984-10-21,-6.571707165701479,-0.16306967473029843,0.27,0.09,1984-10-01
1984-10-29,-0.30902197607058923,-0.30902197607058923,NA,NA,1984-10-28,-6.571707165701479,-0.16306967473029843,0.27,0.03,1984-10-01
1984-10-30,1.2424000534932311,1.2424000534932311,NA,NA,1984-10-28,-6.571707165701479,-0.16306967473029843,0.27,0.03,1984-10-01
1984-10-31,-0.4505459326098915,-0.3905956941693489,NA,NA,1984-10-28,-6.571707165701479,-0.16306967473029843,0.27,0.03,1984-10-01
1984-11-01,0.8393891815327237,0.8393891815327237,NA,NA,1984-10-28,6.040262159352228,0.3932005015989226,0.72,0.03,1984-11-01
1984-11-02,-0.041806455700044154,-0.041806455700044154,NA,NA,1984-10-28,6.040262159352228,0.3932005015989226,0.72,0.03,1984-11-01
1984-11-05,0.6904813147233568,0.6904813147233568,NA,NA,1984-11-04,6.040262159352228,0.3932005015989226,0.72,-0.02,1984-11-01
1984-11-06,1.0796895158962094,1.0796895158962094,NA,NA,1984-11-04,6.040262159352228,0.3932005015989226,0.72,-0.02,1984-11-01
1984-11-07,-0.7303206927328887,-0.7303206927328887,NA,NA,1984-11-04,6.040262159352228,0.3932005015989226,0.72,-0.02,1984-11-01
1984-11-08,-0.29007272851107047,-0.30189682120722594,NA,NA,1984-11-04,6.040262159352228,0.3932005015989226,0.72,-0.02,1984-11-01
1984-11-09,-0.6423163532157439,-0.6423163532157439,NA,NA,1984-11-04,6.040262159352228,0.3932005015989226,0.72,-0.02,1984-11-01
1984-11-12,-0.14330369958033273,-0.17312502716899658,NA,NA,1984-11-11,6.040262159352228,0.3932005015989226,0.72,-0.06,1984-11-01
1984-11-13,-0.8340131693889141,-0.8340131693889141,NA,NA,1984-11-11,6.040262159352228,0.3932005015989226,0.72,-0.06,1984-11-01
1984-11-14,0.012052054261157963,0.012052054261157963,NA,NA,1984-11-11,6.040262159352228,0.3932005015989226,0.72,-0.06,1984-11-01
1984-11-15,-0.060266362433125664,-0.060266362433125664,NA,NA,1984-11-11,6.040262159352228,0.3932005015989226,0.72,-0.06,1984-11-01
1984-11-16,-1.08488774169766,-1.08488774169766,NA,NA,1984-11-11,6.040262159352228,0.3932005015989226,0.72,-0.06,1984-11-01
1984-11-19,-0.6173863516624856,-0.6173863516624856,NA,NA,1984-11-18,6.040262159352228,0.3932005015989226,0.72,-0.11,1984-11-01
1984-11-20,0.6661173141496946,0.6599797869773383,NA,NA,1984-11-18,6.040262159352228,0.3932005015989226,0.72,-0.11,1984-11-01
1984-11-21,0.200798395405144,0.200798395405144,NA,NA,1984-11-18,6.040262159352228,0.3932005015989226,0.72,-0.11,1984-11-01
1984-11-23,1.454331550352439,1.4482476066187466,NA,NA,1984-11-18,6.040262159352228,0.3932005015989226,0.72,-0.11,1984-11-01
1984-11-26,-0.8241361626895483,-0.8241361626895483,NA,NA,1984-11-25,6.040262159352228,0.3932005015989226,0.72,-0.16,1984-11-01
1984-11-27,0.4459927890018811,0.4459927890018811,NA,NA,1984-11-25,6.040262159352228,0.3932005015989226,0.72,-0.16,1984-11-01
1984-11-28,-0.7666507089004071,-0.7666507089004071,NA,NA,1984-11-25,6.040262159352228,0.3932005015989226,0.72,-0.16,1984-11-01
1984-11-29,-0.6749181810778992,-0.6749181810778992,NA,NA,1984-11-25,6.040262159352228,0.3932005015989226,0.72,-0.16,1984-11-01
1984-11-30,-0.201534157164307,-0.201534157164307,NA,NA,1984-11-25,6.040262159352228,0.3932005015989226,0.72,-0.16,1984-11-01
